"myopic","gender","sportHR","readHR","compHR","studyHR","TVHR","mumMyopic","dadMyopic"
1,"female",7,20,0,3,5,"No","Yes"
1,"female",3,0,1,0,10,"Yes","Yes"
0,"female",35,0,1,1,3,"No","Yes"
0,"female",4,1,1,1,1,"No","No"
0,"female",5,3,10,2,10,"No","Yes"
0,"female",20,1,1,0,14,"No","No"
0,"male",10,2,15,15,20,"Yes","Yes"
1,"male",23,5,0,2,4,"No","Yes"
0,"male",9,9,5,0,16,"Yes","No"
1,"male",2,0,7,3,14,"Yes","No"
0,"female",6,0,1,0,8,"Yes","Yes"
0,"male",8,0,0,0,4,"Yes","Yes"
0,"female",12,2,1,0,15,"No","No"
0,"male",25,0,2,0,10,"Yes","Yes"
