"vehicle","colour","passing.distance","street","time","helmet","kerb","city"
"ordinary car","black",1.413,"main road","After 15:15","Yes",0.25,"Salisbury"
"PTW","unknown",1.248,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.284,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.94,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",2.073,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.557,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.022,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.938,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.875,"main road","After 15:15","Yes",0.25,"Salisbury"
"bus","red",1.528,"main road","After 15:15","Yes",0.25,"Salisbury"
"bus","red",1.348,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.916,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",2.183,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.763,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","blue",1.804,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.792,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.904,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.646,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.561,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.726,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.648,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.248,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.633,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.891,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","white",2.328,"main road","After 15:15","Yes",0.25,"Salisbury"
"taxi","blue",1.845,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.254,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","white",1.702,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",2.204,"residential street","After 15:15","Yes",0.25,"Salisbury"
"bus","white",1.681,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.73,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.616,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.673,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.478,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","other",1.407,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.917,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.39,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.793,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",2.027,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.064,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.539,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.869,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","black",1.84,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.292,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.362,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",1.432,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.36,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.456,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.224,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","silver or grey",1.548,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.6,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.182,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.465,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.319,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.224,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","silver or grey",1.831,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.693,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.879,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",1.53,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.53,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.098,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.93,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.282,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.133,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.913,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.775,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","blue",1.365,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.796,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.871,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.927,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.47,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.695,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.31,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","silver or grey",1.181,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.464,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.131,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","blue",1.892,"main road","After 15:15","Yes",0.25,"Salisbury"
"taxi","blue",1.777,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.922,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.018,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.509,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.527,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.305,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.416,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",0.962,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.174,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","black",1.415,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.828,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.377,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",1.585,"main road","After 15:15","Yes",0.25,"Salisbury"
"taxi","blue",1.694,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.401,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.547,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.48,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.506,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.697,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",1.634,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.446,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.349,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.653,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.388,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.506,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",2.192,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.524,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.537,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.57,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.139,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.631,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.241,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.282,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.298,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","white",1.199,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.179,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","red",1.756,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.49,"main road","After 15:15","Yes",0.25,"Salisbury"
"bus","white",1.256,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.648,"residential street","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.442,"residential street","After 15:15","Yes",0.25,"Salisbury"
"bus","white",1.815,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","blue",1.823,"one-way (one lane)","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.124,"urban street","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.249,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.947,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","silver or grey",1.829,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","silver or grey",2.01,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",2.092,"urban street","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.554,"urban street","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",0.672,"urban street","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.583,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.627,"urban street","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.611,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.198,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.071,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.271,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.493,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.237,"urban street","Middle","No",0.25,"Salisbury"
"PTW","unknown",1.47,"urban street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.544,"urban street","Middle","No",0.25,"Salisbury"
"SUV or pickup","blue",2.075,"residential street","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.289,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.661,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.544,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.023,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","green",2.024,"main road","Middle","No",0.25,"Salisbury"
"SUV or pickup","red",1.998,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.471,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.331,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",2.498,"main road","Middle","No",0.25,"Salisbury"
"SUV or pickup","black",2.068,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.893,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",1.318,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.742,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.574,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.874,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.486,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",2.058,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","green",2.043,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.746,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.537,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.23,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.339,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.374,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","green",1.801,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.563,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.792,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",2.211,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.85,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.794,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","green",1.31,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",2.092,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",2.395,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.859,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.874,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.086,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.047,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.986,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.412,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.635,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","silver or grey",1.254,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.915,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",2.132,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.479,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.823,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","white",1.487,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.789,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",1.739,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.482,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.823,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.892,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",2.338,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.388,"main road","Middle","No",0.25,"Salisbury"
"SUV or pickup","green",2.03,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.613,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.277,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.841,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.581,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.781,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.958,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.736,"residential street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.464,"residential street","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.685,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",2.04,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.613,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.299,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",2.11,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.333,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.752,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.389,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","red",2.227,"main road","Middle","No",0.25,"Salisbury"
"bus","red",1.384,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.839,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.859,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","white",1.861,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.319,"main road","Middle","No",0.25,"Salisbury"
"taxi","black",1.482,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","red",1.345,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.024,"main road","Middle","No",0.25,"Salisbury"
"SUV or pickup","green",1.077,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.118,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.587,"main road","Middle","No",0.25,"Salisbury"
"bus","red",1.45,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","other",1.588,"main road","Middle","No",0.25,"Salisbury"
"HGV","red",2.109,"main road","Middle","No",0.25,"Salisbury"
"HGV","white",1.202,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.899,"main road","Middle","No",0.25,"Salisbury"
"LGV or minibus","white",1.575,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.576,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",2.011,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.569,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.658,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",3.215,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.835,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.322,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.6,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.765,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.562,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.164,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.464,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",2.116,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",2.097,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",2.52,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.861,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",2.639,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",1.484,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.564,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.827,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.633,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","green",1.875,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.56,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.377,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.635,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.584,"main road","Middle","No",0.25,"Salisbury"
"taxi","black",1.304,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","black",0.941,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.405,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",2.079,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","red",1.986,"main road","Middle","No",0.25,"Salisbury"
"ordinary car","blue",1.365,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.61,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.912,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.606,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","black",1.848,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.591,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","other",2.049,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.067,"main road","Middle","Yes",0.25,"Salisbury"
"SUV or pickup","blue",2.264,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","other",2.124,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.827,"main road","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.831,"main road","Middle","Yes",0.25,"Salisbury"
"SUV or pickup","black",1.524,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.33,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.372,"main road","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","red",2.178,"main road","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.745,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","black",1.178,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.5,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.55,"main road","Middle","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.609,"urban street","Middle","Yes",0.25,"Salisbury"
"taxi","white",1.498,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.815,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.9,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","black",1.988,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.525,"urban street","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.714,"urban street","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.154,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",2.382,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","black",2.984,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","black",2.381,"urban street","Middle","Yes",0.25,"Salisbury"
"LGV or minibus","silver or grey",1.51,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.299,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","blue",1.547,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.7,"urban street","Middle","Yes",0.25,"Salisbury"
"taxi","black",1.141,"urban street","Middle","Yes",0.25,"Salisbury"
"bus","white",1.071,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.038,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.904,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.221,"urban street","Middle","Yes",0.25,"Salisbury"
"ordinary car","red",1.439,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.353,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.558,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","red",0.794,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.424,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",2.467,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.458,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.402,"residential street","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",0.942,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",2.032,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",0.906,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.101,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.371,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.54,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.272,"main road","Middle","Yes",1,"Salisbury"
"HGV","blue",1.047,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.428,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.098,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","blue",1.055,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.259,"main road","Middle","Yes",1,"Salisbury"
"HGV","blue",0.913,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.522,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.885,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.223,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.383,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.898,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.999,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.671,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.565,"main road","Middle","Yes",1,"Salisbury"
"HGV","red",1.354,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.258,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.431,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",0.913,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.048,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.032,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.355,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.413,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.035,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.169,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.574,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.636,"main road","Middle","Yes",1,"Salisbury"
"PTW","other",0.814,"main road","Middle","Yes",1,"Salisbury"
"HGV","red",1.885,"main road","Middle","Yes",1,"Salisbury"
"HGV","blue",1.651,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",2.138,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.516,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","blue",0.894,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.214,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.052,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.958,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.619,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.489,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.683,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.704,"urban street","After 15:15","No",0.5,"Salisbury"
"taxi","black",1.403,"urban street","After 15:15","No",0.5,"Salisbury"
"SUV or pickup","red",0.971,"one-way (one lane)","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",2.371,"one-way (two lanes)","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.784,"one-way (two lanes)","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.712,"one-way (two lanes)","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.703,"one-way (two lanes)","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.526,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",2.16,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.56,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.242,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","white",1.181,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.038,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.171,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.029,"urban street","After 15:15","No",0.5,"Salisbury"
